deal_totalPrice,gross_area,address,house_age,deal_time,deal_unitPrice,floor_number,house_decoration,house_orientation,house_usage,household_style,is_two_five,longitude_latitude,region,with_elevator,xiaoqu,lon,lat
105,103.51,quanshuilongpanjinquan,12,2017-11,10096,13,其他,南 北,普通住宅,2室2厅1厨1卫,5,"121.63185815162,39.015617795485",ganjingzi,1,龙畔金泉五期K4区,121.63185815162,39.015617795485
97,90.56,quanshuilongpanjinquan,8,2017-11,10712,24,精装,南,普通住宅,2室2厅1厨1卫,2,"121.630061,39.011831",ganjingzi,1,龙畔金泉五期K2区,121.63006100000001,39.011831
110,88.5,quanshuilongpanjinquan,10,2017-11,12430,11,其他,南 北,普通住宅,2室2厅1厨1卫,0,"121.64312340565,39.019028609159",ganjingzi,1,半岛泉水欣座,121.64312340565,39.019028609159
95,88.43,quanshuilongpanjinquan,15,2017-12,10687,6,精装,南 北,普通住宅,2室2厅1厨1卫,0,"121.624479,39.005261",ganjingzi,0,龙畔金泉三期,121.62447900000001,39.005261
99,89.34,quanshuilongpanjinquan,12,2017-09,11026,6,精装,南 北,普通住宅,2室2厅1厨1卫,5,"121.630061,39.011831",ganjingzi,0,龙畔金泉五期K2区,121.63006100000001,39.011831
127,131.5,quanshuilongpanjinquan,12,2017-09,9658,6,其他,南 北,普通住宅,3室2厅1厨2卫,0,"121.630061,39.011831",ganjingzi,0,龙畔金泉五期K2区,121.63006100000001,39.011831
95,92.53,quanshuilongpanjinquan,15,2017-09,10267,6,其他,南 北,普通住宅,2室2厅1厨1卫,0,"121.626882,39.005327",ganjingzi,0,龙畔金泉四期,121.62688200000001,39.005327
93,96.27,quanshuilongpanjinquan,12,2017-09,9661,6,其他,南 北,普通住宅,2室2厅1厨1卫,0,"121.63185815162,39.015617795485",ganjingzi,1,龙畔金泉五期K4区,121.63185815162,39.015617795485
107,117.79,quanshuilongpanjinquan,12,2017-10,9084,18,其他,南 北,普通住宅,3室2厅1厨1卫,2,"121.63185815162,39.015617795485",ganjingzi,1,龙畔金泉五期K4区,121.63185815162,39.015617795485
98,94.65,quanshuilongpanjinquan,12,2017-10,10302,6,其他,南 北,普通住宅,2室2厅1厨1卫,0,"121.630616,39.008194",ganjingzi,0,龙畔金泉五期K1区,121.63061599999999,39.008194
99,88.05,quanshuilongpanjinquan,10,2017-10,11244,11,其他,南 北,普通住宅,2室2厅1厨1卫,0,"121.64312340565,39.019028609159",ganjingzi,1,半岛泉水欣座,121.64312340565,39.019028609159
96,97.17,quanshuilongpanjinquan,12,2017-10,9880,6,其他,南 北,普通住宅,2室2厅1厨1卫,0,"121.630061,39.011831",ganjingzi,0,龙畔金泉五期K2区,121.63006100000001,39.011831
