deal_totalPrice,gross_area,address,house_age,deal_time,deal_unitPrice,floor_number,house_decoration,house_orientation,house_usage,household_style,is_two_five,longitude_latitude,region,with_elevator,xiaoqu,lon,lat
327,135.83,diwujun,11,2018-04,24075,7,精装,南 北,普通住宅,3室2厅1厨2卫,2,"121.531525,38.955632",ganjingzi,1,第五郡五号地,121.531525,38.955632
230,97.25,diwujun,8,2018-04,23651,14,精装,南 北,普通住宅,2室2厅1厨1卫,0,"121.528348,38.959586",ganjingzi,1,第五郡一号地,121.528348,38.959586
299,123.01,diwujun,11,2018-04,24307,4,精装,南,普通住宅,3室2厅1厨3卫,0,"121.531525,38.955632",ganjingzi,0,第五郡五号地,121.531525,38.955632
430,147.52,diwujun,8,2018-05,29149,4,简装,东 南 北,普通住宅,3室2厅1厨2卫,2,"121.536268,38.954847",ganjingzi,1,第五郡六号地,121.53626799999999,38.954846999999994
448,200.99,diwujun,8,2018-06,22290,11,精装,南 北,普通住宅,4室2厅1厨3卫,0,"121.537019,38.957539",ganjingzi,1,第五郡三号地,121.537019,38.957539000000004
251,130.22,diwujun,9,2018-03,19276,6,毛坯,南 北,普通住宅,3室2厅1厨2卫,5,"121.549959,38.963499",ganjingzi,1,城市印象,121.54995900000002,38.963499
315,72.95,diwujun,8,2018-03,43112,11,精装,南,普通住宅,4室2厅1厨3卫,0,"121.537019,38.957539",ganjingzi,1,第五郡三号地,121.537019,38.957539000000004
405,160.62,diwujun,8,2018-04,25215,4,毛坯,南 北,普通住宅,5室2厅1厨3卫,2,"121.536268,38.954847",ganjingzi,1,第五郡六号地,121.53626799999999,38.954846999999994
310,158.01,diwujun,8,2018-04,19620,9,精装,南 北,普通住宅,3室2厅1厨2卫,0,"121.528348,38.959586",ganjingzi,1,第五郡一号地,121.528348,38.959586
245,116.0,diwujun,8,2018-04,21121,4,精装,南 北,普通住宅,2室2厅1厨1卫,0,"121.536268,38.954847",ganjingzi,1,第五郡六号地,121.53626799999999,38.954846999999994
318,138.63,diwujun,11,2018-04,22939,7,精装,南 北,普通住宅,3室2厅1厨2卫,5,"121.531525,38.955632",ganjingzi,1,第五郡五号地,121.531525,38.955632
314,117.26,diwujun,8,2018-04,26779,4,毛坯,南 北,普通住宅,3室1厅1厨2卫,0,"121.536268,38.954847",ganjingzi,1,第五郡六号地,121.53626799999999,38.954846999999994
252,96.27,diwujun,10,2018-04,26177,5,精装,南 北,普通住宅,2室2厅1厨1卫,2,"121.527806,38.956376",ganjingzi,0,第五郡四号地,121.52780600000001,38.956376
267,135.32,diwujun,11,2018-04,19732,5,简装,南 北,普通住宅,3室2厅1厨2卫,0,"121.539727,38.95991",ganjingzi,1,恒德橄榄季,121.539727,38.95991
278,111.2,diwujun,10,2018-04,25000,8,精装,南 北,普通住宅,3室2厅1厨1卫,5,"121.527806,38.956376",ganjingzi,1,第五郡四号地,121.52780600000001,38.956376
275,90.28,diwujun,11,2018-04,30461,5,精装,南 北,普通住宅,3室2厅1厨2卫,0,"121.531525,38.955632",ganjingzi,0,第五郡五号地,121.531525,38.955632
305,125.08,diwujun,11,2018-04,24385,8,精装,南 北,普通住宅,3室2厅1厨2卫,2,"121.531525,38.955632",ganjingzi,1,第五郡五号地,121.531525,38.955632
422,167.0,diwujun,8,2018-01,25270,4,精装,南 北,普通住宅,3室2厅1厨2卫,0,"121.536268,38.954847",ganjingzi,1,第五郡六号地,121.53626799999999,38.954846999999994
382,170.62,diwujun,11,2018-01,22389,8,精装,南 北,普通住宅,4室2厅1厨2卫,5,"121.531525,38.955632",ganjingzi,1,第五郡五号地,121.531525,38.955632
265,120.3,diwujun,4,2018-01,22029,5,其他,南 北,普通住宅,3室2厅1厨1卫,0,"121.529393,38.952876",ganjingzi,1,三鼎春天B区,121.529393,38.952876
309,130.98,diwujun,11,2018-01,23592,5,精装,南 北,普通住宅,3室2厅1厨1卫,5,"121.531525,38.955632",ganjingzi,0,第五郡五号地,121.531525,38.955632
260,124.07,diwujun,10,2018-02,20956,4,毛坯,南 北,普通住宅,4室2厅1厨2卫,0,"121.527806,38.956376",ganjingzi,0,第五郡四号地,121.52780600000001,38.956376
237,105.88,diwujun,8,2018-02,22384,11,精装,南 北,普通住宅,2室2厅1厨1卫,2,"121.537019,38.957539",ganjingzi,1,第五郡三号地,121.537019,38.957539000000004
223,117.0,diwujun,7,2018-02,19060,11,精装,南 北,普通住宅,4室2厅1厨3卫,0,"121.539727,38.95991",ganjingzi,1,恒德橄榄季,121.539727,38.95991
275,134.87,diwujun,10,2018-03,20391,5,毛坯,南 北,普通住宅,3室2厅1厨2卫,5,"121.527806,38.956376",ganjingzi,0,第五郡四号地,121.52780600000001,38.956376
412,163.55,diwujun,8,2018-03,25192,11,精装,南 北,普通住宅,3室2厅1厨2卫,2,"121.537019,38.957539",ganjingzi,1,第五郡三号地,121.537019,38.957539000000004
260,114.1,diwujun,8,2018-03,22788,16,精装,南 北,普通住宅,2室2厅1厨1卫,2,"121.537019,38.957539",ganjingzi,1,第五郡三号地,121.537019,38.957539000000004
341,118.01,diwujun,11,2018-03,28896,5,精装,南 北,普通住宅,5室3厅1厨3卫,5,"121.531525,38.955632",ganjingzi,0,第五郡五号地,121.531525,38.955632
232,113.04,diwujun,10,2017-12,20524,5,其他,南 北,普通住宅,3室2厅1厨1卫,0,"121.527806,38.956376",ganjingzi,0,第五郡四号地,121.52780600000001,38.956376
420,153.68,diwujun,8,2017-12,27330,4,毛坯,南 北,普通住宅,5室3厅1厨3卫,0,"121.536268,38.954847",ganjingzi,1,第五郡六号地,121.53626799999999,38.954846999999994
270,136.77,diwujun,11,2017-12,19742,5,其他,南 北,普通住宅,3室2厅1厨2卫,0,"121.531525,38.955632",ganjingzi,0,第五郡五号地,121.531525,38.955632
510,152.95,diwujun,8,2017-12,33345,4,其他,南 北,普通住宅,4室3厅1厨2卫,0,"121.536268,38.954847",ganjingzi,1,第五郡六号地,121.53626799999999,38.954846999999994
243,129.68,diwujun,8,2018-01,18739,8,其他,南 北,普通住宅,3室1厅1厨1卫,0,"121.528348,38.959586",ganjingzi,1,第五郡一号地,121.528348,38.959586
